article_id,author,title,posting_date,location,category,data
1,Bill Barlow,Stuck at Home? Do Some Digging,04-07-2020,Salem,Ecology,https://srhub.org/2020/04/07/stuck-at-home-do-some-digging/
2,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,03-03-2020,Cape May,Energy,https://srhub.org/2020/03/03/wind-energy-will-mean-a-lot-for-new-and-existing-local-industries/
3,Bill Barlow,"Gas up, Naturally, at MUA Site",03-01-2020,Warren,Transportation,https://srhub.org/2020/03/01/gas-up-naturally-at-mua-site/
4,Bill Barlow,Solutions For Bayside Shore Communities Require Investment,02-18-2020,Middlesex,Infrastructure,https://srhub.org/2020/02/18/solutions-for-bayside-shore-communities-require-investment/
5,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Cape May,Forum,https://srhub.org/2020/02/11/nj-program-seeks-to-improve-energy-efficiency/
6,Bill Barlow,Ocean City Hears Plan for Offshore Wind Project,02-11-2020,Cape May,Art,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
7,Vernon Ogrodnek,David Dichter wants to change Atlantic City and make the world a better place,02-09-2020,Atlantic,Sustainability,https://srhub.org/2020/02/09/david-dichter-wants-to-change-atlantic-city-and-make-the-world-a-better-place/
8,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Bergen,City,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
9,Bill Barlow,Solutions For Bayside Shore Communities Require Investment,02-11-2020,Burlington,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
10,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Camden,Art,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
11,Bill Barlow,Stuck at Home? Do Some Digging,02-11-2020,Cumberland,Infrastructure,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
12,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Essex,City,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
13,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Gloucester,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
14,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Hudson,Ecology,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
15,Bill Barlow,Ocean City Hears Plan for Offshore Wind Project,02-11-2020,Hunterdon,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
16,Bill Barlow,David Dichter wants to change Atlantic City and make the world a better place,02-11-2020,Mercer,Waste,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
17,Bill Barlow,Ocean City Hears Plan for Offshore Wind Project,02-11-2020,Middlesex,Education,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
18,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Monmouth,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
19,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Morris,Environmental Just,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
20,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Ocean,Sustainable Business,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
21,Bill Barlow,Ocean City Hears Plan for Offshore Wind Project,02-11-2020,Passaic,Infrastructure,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
22,Bill Barlow,Stuck at Home? Do Some Digging,02-11-2020,Salem,Water,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
23,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Somerset,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
24,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Union,Wildlife,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
25,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Warren,Agriculture,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
26,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Camden,Sustainable Business,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
27,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Cumberland,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
28,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Essex,Water,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
29,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Gloucester,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
30,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Hudson,Wildlife,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
31,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Hunterdon,Agriculture,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
32,Bill Barlow,Stuck at Home? Do Some Digging,02-11-2020,Mercer,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
33,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Middlesex,Ecology,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
34,Bill Barlow,Stuck at Home? Do Some Digging,02-11-2020,Monmouth,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
35,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Morris,Environmental Just,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
36,Bill Barlow,Ocean City Hears Plan for Offshore Wind Project,02-11-2020,Ocean,Sustainable Business,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
37,Bill Barlow,Offshore Wind Impact Seen In Economy As Well As Emissions,02-11-2020,Passaic,City,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
38,Bill Barlow,"Gas up, Naturally, at MUA Site",02-11-2020,Salem,Energy,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
39,Bill Barlow,NJ Program Seeks to Improve Energy Efficiency,02-11-2020,Somerset,Wildlife,https://srhub.org/2020/02/11/ocean-city-hears-plans-for-offshore-wind-project/
